val,label,level,level_order,adult
25022,DIA2M,7,3,1
25023,DIA1H,7,1,1
2503,DIA2M,7,3,1
25030,DIA2M,7,3,1
25031,DIA1H,7,1,1
25032,DIA2M,7,3,1
25033,DIA1H,7,1,1
2504,DIA2M,7,3,1
25040,DIA2M,7,3,1
25041,DIA1H,7,1,1
25042,DIA2M,7,3,1
25043,DIA1H,7,1,1
2505,DIA2M,7,3,1
25050,DIA2M,7,3,1
25051,DIA1M,7,2,1
25052,DIA2M,7,3,1
25053,DIA1M,7,2,1
2506,DIA2M,7,3,1
25060,DIA2M,7,3,1
25061,DIA1M,7,2,1
25062,DIA2M,7,3,1
25063,DIA1M,7,2,1
2507,DIA2L,7,4,1
25070,DIA2L,7,4,1
25071,DIA2L,7,4,1
25072,DIA2L,7,4,1
25073,DIA2L,7,4,1
2508,DIA2L,7,4,1
25080,DIA2L,7,4,1
25081,DIA2L,7,4,1
25082,DIA2L,7,4,1
25083,DIA2L,7,4,1
2509,DIA2L,7,4,1
25090,DIA2L,7,4,1
25091,DIA2L,7,4,1
25092,DIA2L,7,4,1
25093,DIA2L,7,4,1
251,METNWD,14,5,1
2510,METVL,14,3,1
2511,METNWD,14,5,1
2512,METNWD,14,5,1
2513,METNWD,14,5,1
2514,METNWD,14,5,1
2515,METNWD,14,5,1
2518,METNWD,14,5,1
2519,METNWD,14,5,1
252,METM,14,2,1
2520,METM,14,2,1
25200,METM,14,2,1
25201,METM,14,2,1
25202,METM,14,2,1
25208,METM,14,2,1
2521,METM,14,2,1
2528,METM,14,2,1
2529,METM,14,2,1
253,METH,14,1,1
2530,METH,14,1,1
2531,METH,14,1,1
2532,METH,14,1,1
2533,METH,14,1,1
2534,METH,14,1,1
2535,METH,14,1,1
2536,METH,14,1,1
2537,METH,14,1,1
2538,METH,14,1,1
2539,METH,14,1,1
254,METM,14,2,1
2540,METM,14,2,1
2541,METM,14,2,1
2548,METM,14,2,1
2549,METM,14,2,1
255,METM,14,2,1
2550,METM,14,2,1
2551,METM,14,2,1
25510,METM,14,2,1
25511,METM,14,2,1
25512,METM,14,2,1
25513,METM,14,2,1
25514,METM,14,2,1
2552,METM,14,2,1
2553,METM,14,2,1
2554,METM,14,2,1
25541,METM,14,2,1
25542,METM,14,2,1
2555,METM,14,2,1
2556,METM,14,2,1
2558,METM,14,2,1
2559,METM,14,2,1
256,METSL,14,4,1
2560,METSL,14,4,1
2561,METSL,14,4,1
2562,METSL,14,4,1
2563,METSL,14,4,1
25631,METSL,14,4,1
25639,METSL,14,4,1
2564,METSL,14,4,1
2568,METSL,14,4,1
2569,METSL,14,4,1
257,METM,14,2,1
2570,METM,14,2,1
2571,METM,14,2,1
2572,METM,14,2,1
2578,METM,14,2,1
2579,METM,14,2,1
258,METSL,14,4,1
2580,METM,14,2,1
25801,METM,14,2,1
25802,METM,14,2,1
25803,METM,14,2,1
2581,METSL,14,4,1
2588,METSL,14,4,1
2589,METSL,14,4,1
259,METNWD,14,5,1
2590,METNWD,14,5,1
2591,METNWD,14,5,1
2592,METNWD,14,5,1
2593,METNWD,14,5,1
2594,METNWD,14,5,1
2595,METNWD,14,5,1
25950,METNWD,14,5,1
25951,METNWD,14,5,1
25952,METNWD,14,5,1
2598,METNWD,14,5,1
2599,METNWD,14,5,1
260,METM,14,2,1
261,METM,14,2,1
262,METM,14,2,1
263,METM,14,2,1
2630,METM,14,2,1
2631,METM,14,2,1
2632,METM,14,2,1
2638,METM,14,2,1
2639,METM,14,2,1
264,METSL,14,4,1
2640,METSL,14,4,1
2641,METSL,14,4,1
2642,METSL,14,4,1
2643,METSL,14,4,1
2644,METSL,14,4,1
2645,METSL,14,4,1
2646,METSL,14,4,1
2647,METSL,14,4,1
2648,METSL,14,4,1
2649,METSL,14,4,1
265,METSL,14,4,1
2650,METSL,14,4,1
2651,METSL,14,4,1
2652,METSL,14,4,1
266,METSL,14,4,1
2660,METSL,14,4,1
2661,METSL,14,4,1
2662,METSL,14,4,1
2669,METSL,14,4,1
267,METSL,14,4,1
268,METSL,14,4,1
2680,METSL,14,4,1
2681,METSL,14,4,1
2682,METSL,14,4,1
2689,METSL,14,4,1
269,METNWD,14,5,1
2690,METNWD,14,5,1
2691,METNWD,14,5,1
2692,METNWD,14,5,1
2693,METNWD,14,5,1
2698,METNWD,14,5,1
2699,METNWD,14,5,1
270,METM,14,2,1
2700,METM,14,2,1
2701,METM,14,2,1
2702,METM,14,2,1
2703,METM,14,2,1
2704,METM,14,2,1
2705,METM,14,2,1
2706,METM,14,2,1
2707,METM,14,2,1
2708,METM,14,2,1
2709,METM,14,2,1
271,METSL,14,4,1
2710,METSL,14,4,1
2711,METSL,14,4,1
2712,METSL,14,4,1
2713,METSL,14,4,1
2714,METSL,14,4,1
2718,METSL,14,4,1
2719,METSL,14,4,1
272,METSL,14,4,1
2720,METSL,14,4,1
2721,METSL,14,4,1
2722,METSL,14,4,1
